"Nombre del Pedido","URN","EJE/VIGA/LOSA","ELEM CONST","PISO","CICLO","Cantidad","Ø mm","Figura","L/m","Uso","A/cm","B/cm","C/cm","D/cm","E/cm","F/cm","G/cm","H/cm","I/cm","J/cm","AngV","AngV2","AngV3","R/cm","Peso Kg","Id"
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8386
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8387
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8388
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8389
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8390
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8391
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8392
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 8","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8393
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,10,"2.3.3",5160,"MH","9","16.999999999997414","397.0000000000004","","","","9","",,"","","","","",0.6169977098397517,8648
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,10,"2.3.3",5160,"MH","9","17","397.0000000000004","","","","9","",,"","","","","",0.6169977098397517,8649
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8650
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8651
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8652
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8653
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8654
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8655
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8656
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE 10","07","07","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8657
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE  8 - 10","07","07","",0,10,"1.0.0",10110,"Losa: Inferior","","337.0000000000005","","","","","","",,"","","","","",0.6169977098397517,8928
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE  8 - 10","07","07","",0,8,"1.0.0",11920,"Losa: Inferior","","595.3999999999943","","","","","","",,"","","","","",0.39499853385202904,8929
"A05","dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0","EJE  8 - 10","07","07","",0,10,"5.0.0",16470,"Losa: Inferior","","69.99999999999979","11.000000000000053","397.0000000000009","11.000000000000055","69.99999999999977","","",,"","","","","",0.6169977098397517,8930
