Nombre del Pedido: A07, URN: dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0

"Nombre del Pedido","URN","EJE/VIGA/LOSA","ELEM CONST","PISO","CICLO","Cantidad","Ø mm","Figura","L/m","Uso","A/cm","B/cm","C/cm","D/cm","E/cm","F/cm","G/cm","H/cm","I/cm","J/cm","AngV","AngV2","AngV3","R/cm","Peso Kg","Id"
,,"EJE 8","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8362
,,"EJE 8","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8363
,,"EJE 8","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8364
,,"EJE 8","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8365
,,"EJE 8","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8366
,,"EJE 8","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8367
,,"EJE 8","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8368
,,"EJE 8","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8369
,,"EJE 10","04","04","",0,10,"2.3.3",5160,"MH","9","16.999999999997414","397.0000000000004","","","","9","",,"","","","","",0.6169977098397517,8618
,,"EJE 10","04","04","",0,10,"2.3.3",5160,"MH","9","17","397.0000000000004","","","","9","",,"","","","","",0.6169977098397517,8619
,,"EJE 10","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8620
,,"EJE 10","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8621
,,"EJE 10","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8622
,,"EJE 10","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8623
,,"EJE 10","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8624
,,"EJE 10","04","04","",0,16,"1.0.0",630,"CB","","315","","","","","","",,"","","","","",1.5799941354081162,8625
,,"EJE 10","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8626
,,"EJE 10","04","04","",0,10,"1.0.0",5950,"MV","","350","","","","","","",,"","","","","",0.6169977098397517,8627
,,"EJE  8 - 10","04","04","",0,10,"1.0.0",10110,"Losa: Inferior","","337.0000000000005","","","","","","",,"","","","","",0.6169977098397517,8913
,,"EJE  8 - 10","04","04","",0,8,"1.0.0",11920,"Losa: Inferior","","595.3999999999943","","","","","","",,"","","","","",0.39499853385202904,8914
,,"EJE  8 - 10","04","04","",0,10,"5.0.0",16470,"Losa: Inferior","","69.99999999999979","11.000000000000053","397.0000000000009","11.000000000000055","69.99999999999977","","",,"","","","","",0.6169977098397517,8915
,,"EJE  8 - 10","04","04","",0,12,"1.0.0",15880,"Losa: Superior Principal","","397.0000000000002","","","","","","",,"","","","","",0.8879967039508906,8916
,,"EJE  8 - 10","04","04","",0,12,"1.0.0",15483,"Losa: Superior Principal","","397.0000000000003","","","","","","",,"","","","","",0.8879967039508906,8917
,,"EJE  8 - 10","04","04","",0,12,"3.0.0",16250,"Losa: Superior Principal","","595","9.799999999999995","25.599999999999927","","","","",,"","","","","",0.8879967039508906,9027
