Nombre del Pedido: P003, URN: dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL011cm8lMjBFTkclMjBGRi5ydnQ=

"EJE/VIGA/LOSA";"ELEM CONST";"PISO";"CICLO";"Cantidad";"Ø mm";"Figura";"L/m";"Uso";"A/cm";"B/cm";"C/cm";"D/cm";"E/cm";"F/cm";"G/cm";"H/cm";"I/cm";"J/cm";"AngV";"AngV2";"AngV3";"R/cm";"Peso Kg";"Id"
"P1";"Level 1";;;;9.5;;143.5735;;;;;;;;;;;;"";"";"";;0.556;3714
"P1";"Level 1";;;;9.5;;143.5735;;;;;;;;;;;;"";"";"";;0.556;3715
"P1";"Level 1";;;;9.5;;158.53092499999997;;;;;;;;;;;;"";"";"";;0.556;3716
"P1";"Level 1";;;;9.5;;158.53092499999997;;;;;;;;;;;;"";"";"";;0.556;3717
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3726
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3727
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3728
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3729
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3730
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3731
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3732
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3733
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3734
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3735
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3736
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3737
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3738
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3739
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3740
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3741
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3742
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3743
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3744
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3745
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3746
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3747
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3748
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3749
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3750
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3751
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3752
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3753
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3754
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3755
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3756
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3757
