Nombre del Pedido: z44, URN: dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0

"EJE/VIGA/LOSA";"ELEM CONST";"PISO";"CICLO";"Cantidad";"Ø mm";"Figura";"L/m";"Uso";"A/cm";"B/cm";"C/cm";"D/cm";"E/cm";"F/cm";"G/cm";"H/cm";"I/cm";"J/cm";"AngV";"AngV2";"AngV3";"R/cm";"Peso Kg";"Id"
"EJE 8";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8506
"EJE 8";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8507
"EJE 8";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8508
"EJE 8";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8509
"EJE 8";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8510
"EJE 8";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8511
"EJE 8";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8512
"EJE 8";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8513
"EJE 10";"22";;;;10;;5160;;;;;;;;;;;;"";"";"";;0.6169977098397517;8798
"EJE 10";"22";;;;10;;5160;;;;;;;;;;;;"";"";"";;0.6169977098397517;8799
"EJE 10";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8800
"EJE 10";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8801
"EJE 10";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8802
"EJE 10";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8803
"EJE 10";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8804
"EJE 10";"22";;;;16;;630;;;;;;;;;;;;"";"";"";;1.5799941354081162;8805
"EJE 10";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8806
"EJE 10";"22";;;;10;;5950;;;;;;;;;;;;"";"";"";;0.6169977098397517;8807
"EJE  8 - 10";"22";;;;10;;10110;;;;;;;;;;;;"";"";"";;0.6169977098397517;9003
"EJE  8 - 10";"22";;;;8;;11920;;;;;;;;;;;;"";"";"";;0.39499853385202904;9004
"EJE  8 - 10";"22";;;;10;;16470;;;;;;;;;;;;"";"";"";;0.6169977098397517;9005
"EJE  8 - 10";"22";;;;12;;15880;;;;;;;;;;;;"";"";"";;0.8879967039508906;9006
"EJE  8 - 10";"22";;;;12;;15483;;;;;;;;;;;;"";"";"";;0.8879967039508906;9007
"EJE  8 - 10";"22";;;;12;;16250;;;;;;;;;;;;"";"";"";;0.8879967039508906;9045
